assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,17,119,1,overlap,17,17,17,118,17,17,0.821319662472781,0.8624544739723206,0.9737405896186828,0.0,1.1709758043289185,1.0864332914352417,0.008521446026861668,0,000000001000.jpg,17,17
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9357763230800629,0.9357763230800629,0.9615599334239959,0.0,0.4744984805583954,1.2899948358535767,0.003072332590818405,0,000000002261.jpg,2,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.9095544351471795,0.9383171200752258,0.9660293698310852,0.0,0.652138888835907,1.5293854475021362,0.010546805337071419,0,000000002431.jpg,9,9
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6776112938920656,0.7388710677623749,0.8678980708122254,0.0,2.0099637508392334,1.1346758604049683,0.006420188583433628,0,000000007281.jpg,12,12
one2one,2,14,0,overlap,2,2,2,14,2,2,0.942806750535965,0.942806750535965,0.979756647348404,0.0,0.41300302743911743,0.1792924553155899,0.003704322734847665,0,000000008532.jpg,2,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8175883054733276,0.8702552318572998,0.9433942019939422,0.0,1.2482894659042358,1.2203376293182373,0.006561120506376028,0,000000009378.jpg,10,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9473885893821716,0.9473885893821716,0.9473885893821716,0.0,0.3740822970867157,0.29540538787841797,0.002399175427854061,0,000000011122.jpg,1,1
one2one,10,69,0,overlap,10,10,10,69,10,10,0.7796063125133514,0.7502855062484741,0.9204090774059296,0.0,1.550044059753418,1.3430168628692627,0.011016328819096088,0,000000011511.jpg,10,10
one2one,28,191,0,overlap,28,28,28,191,28,28,0.7697750021304403,0.8278235495090485,0.9264703571796418,0.0,1.4368220567703247,2.0332746505737305,0.008911474607884884,0,000000012670.jpg,28,28
one2one,19,130,4,overlap,19,19,19,126,19,19,0.818639265863519,0.8604959845542908,0.9307103037834168,0.0,1.237836241722107,2.1612815856933594,0.006253663916140795,0,000000013923.jpg,19,19
