assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,17,119,1,overlap,17,17,17,118,17,17,0.821319662472781,0.8624544739723206,0.9737405896186828,0.0,1.1709758043289185,1.0864332914352417,0.008521446026861668,0,17,17,2,0.014040872342312676,285,17,000000001000.jpg,9,9,0.8245989720026652,0.8624544739723206,0.975909972190857,8,6,300,0,0,0.5690812362978855,15
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9357763230800629,0.9357763230800629,0.9615599334239959,0.0,0.4744984805583954,1.2899948358535767,0.003072332590818405,0,2,2,0,0.011311045456797076,39,2,000000002261.jpg,0,0,0.7749922275543213,0.7749922275543213,0.8778358936309815,2,2,41,0,0,0.3440703749656677,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.9095544351471795,0.9383171200752258,0.9660293698310852,0.0,0.652138888835907,1.5293854475021362,0.010546805337071419,0,9,9,1,0.01788470407410041,258,9,000000002431.jpg,4,4,0.9017396718263626,0.9456409215927124,0.9674546778202057,4,4,266,1,0,0.45915926480665803,8
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6776112938920656,0.7388710677623749,0.8678980708122254,0.0,2.0099637508392334,1.1346758604049683,0.006420188583433628,0,12,12,2,0.019417783292141968,177,12,000000007281.jpg,2,2,0.7432541728019715,0.7990700602531433,0.8726650774478912,2,2,187,8,6,0.43667129762470724,10
one2one,2,14,0,overlap,2,2,2,14,2,2,0.942806750535965,0.942806750535965,0.979756647348404,0.0,0.41300302743911743,0.1792924553155899,0.003704322734847665,0,2,2,0,0.006201643820127679,27,2,000000008532.jpg,1,1,0.942806750535965,0.942806750535965,0.979756647348404,1,1,29,0,0,0.9154081046581268,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8175883054733276,0.8702552318572998,0.9433942019939422,0.0,1.2482894659042358,1.2203376293182373,0.006561120506376028,0,10,10,0,0.016985106037149356,185,10,000000009378.jpg,1,1,0.7299088716506958,0.6724510788917542,0.9433942019939422,5,5,195,4,4,0.4892946515232325,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9473885893821716,0.9473885893821716,0.9473885893821716,0.0,0.3740822970867157,0.29540538787841797,0.002399175427854061,0,1,1,0,0.006040701096773975,45,1,000000011122.jpg,0,0,0.9473879933357239,0.9473879933357239,0.9473879933357239,1,1,46,0,0,0.9480677843093872,1
one2one,10,69,0,overlap,10,10,10,69,10,10,0.7796063125133514,0.7502855062484741,0.9204090774059296,0.0,1.550044059753418,1.3430168628692627,0.011016328819096088,0,10,10,0,0.01186334031681503,206,10,000000011511.jpg,1,1,0.7711282014846802,0.746167927980423,0.920409095287323,7,7,216,2,2,0.4208134927786887,10
one2one,28,191,0,overlap,28,28,28,191,28,28,0.7697750021304403,0.8278235495090485,0.9264703571796418,0.0,1.4368220567703247,2.0332746505737305,0.008911474607884884,0,28,28,8,0.022573594710723097,280,28,000000012670.jpg,7,7,0.7978721141815186,0.8330252766609192,0.928351879119873,14,12,300,7,1,0.3216013251570985,20
one2one,19,130,4,overlap,19,19,19,126,19,19,0.818639265863519,0.8604959845542908,0.9307103037834168,0.0,1.237836241722107,2.1612815856933594,0.006253663916140795,0,19,19,5,0.017409424685019922,286,19,000000013923.jpg,3,3,0.8120385152953011,0.8576259016990662,0.935723727941513,11,8,300,5,3,0.45043146633543074,14
