assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,17,119,1,overlap,17,17,17,118,17,17,0.8210439611883724,0.866757333278656,0.9739118814468384,0.0,1.1699122190475464,1.0858545303344727,0.008487680926918983,0,000000001000.jpg,17,17
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9371490478515625,0.9371490478515625,0.9605670928955078,0.0,0.46556466817855835,1.30931556224823,0.0030536064878106117,0,000000002261.jpg,2,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.9097033540407816,0.9369158148765564,0.9658968567848205,0.0,0.6515519618988037,1.5206849575042725,0.01063296664506197,0,000000002431.jpg,9,9
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6782684723536173,0.7372851073741913,0.8640130758285522,0.0,2.0144877433776855,1.1385339498519897,0.006433621048927307,0,000000007281.jpg,12,12
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9415919780731201,0.9415919780731201,0.9800515651702881,0.0,0.4206843376159668,0.17738185822963715,0.0036628409288823605,0,000000008532.jpg,2,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8109009265899658,0.846868246793747,0.9457906663417817,0.0,1.3018968105316162,1.1812397241592407,0.0069354199804365635,0,000000009378.jpg,10,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9476013779640198,0.9476013779640198,0.9476013779640198,0.0,0.3726208508014679,0.29995521903038025,0.00238994974642992,0,000000011122.jpg,1,1
one2one,10,69,1,overlap,10,10,10,68,10,10,0.7794688522815705,0.7518329918384552,0.9197405397891998,0.0,1.5516104698181152,1.3534866571426392,0.011029485613107681,0,000000011511.jpg,10,10
one2one,28,191,0,overlap,28,28,28,191,28,28,0.772644871047565,0.827419102191925,0.9288218021392822,0.0,1.4228750467300415,2.0321996212005615,0.008812326937913895,0,000000012670.jpg,28,28
one2one,19,130,3,overlap,19,19,19,127,19,19,0.8203133564246329,0.8658429384231567,0.9310756802558899,0.0,1.2338833808898926,2.1903905868530273,0.006210977677255869,0,000000013923.jpg,19,19
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9186860720316569,0.9001268744468689,0.9624565482139588,0.0,0.5956630706787109,1.543013334274292,0.004293662495911121,0,000000015597.jpg,3,3
one2one,5,35,0,overlap,5,5,5,35,5,5,0.7941535711288452,0.8926833271980286,0.9146357178688049,0.0,1.3115057945251465,2.052600622177124,0.0044432636350393295,0,000000016010.jpg,5,5
one2one,8,56,12,overlap,7,7,7,42,7,7,0.7418091212000165,0.731000542640686,0.8863411188125611,0.0,1.7653920650482178,2.4621620178222656,0.006550799123942852,0,000000017182.jpg,7,7
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8691121141115824,0.9440889358520508,0.956594705581665,0.0,0.8685420155525208,1.8412072658538818,0.008523651398718357,0,000000017905.jpg,3,3
one2one,7,49,0,overlap,7,7,7,49,7,7,0.8662299939564296,0.8692833781242371,0.9463981509208679,0.0,0.9755529165267944,1.0775260925292969,0.010884253308176994,0,000000018150.jpg,7,7
one2one,8,56,0,overlap,8,8,8,56,8,8,0.774225227534771,0.8314265012741089,0.919197940826416,0.0,1.5278033018112183,1.1145209074020386,0.01243334636092186,0,000000018837.jpg,8,8
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9111340343952179,0.9111340343952179,0.9308174669742584,0.0,0.6654646396636963,0.26311272382736206,0.006407545879483223,0,000000020059.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8263383507728577,0.8263383507728577,0.8901394486427308,0.0,1.2547249794006348,3.0686357021331787,0.013920595869421959,0,000000021465.jpg,2,2
one2one,5,35,2,overlap,5,5,5,33,5,5,0.881043016910553,0.8556267619132996,0.9669583678245545,0.0,0.8522688150405884,1.391798973083496,0.005577294621616602,0,000000022705.jpg,5,5
one2one,4,22,2,overlap,4,4,4,20,4,4,0.5795192793011665,0.5754790157079697,0.8308210968971252,0.0,2.4075510501861572,2.193803310394287,0.011394733563065529,0,000000022755.jpg,4,4
one2one,3,21,0,overlap,3,3,3,21,3,3,0.978470245997111,0.9770247340202332,0.9810554385185242,0.0,0.16155841946601868,0.10836703330278397,0.0036927578039467335,0,000000022935.jpg,3,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.8923495411872864,0.8923495411872864,0.8923495411872864,0.0,0.7206594944000244,0.24953098595142365,0.0070431106723845005,0,000000023666.jpg,1,1
one2one,18,99,11,overlap,18,18,18,88,18,18,0.6891462715963522,0.7959466576576233,0.9480275511741638,0.0,1.585951328277588,1.2936137914657593,0.0054973820224404335,0,000000024243.jpg,18,18
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7917607724666595,0.7917607724666595,0.8346394717693328,0.0,1.5739681720733643,1.666174054145813,0.053671665489673615,0,000000025139.jpg,2,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.913918693860372,0.8892924189567566,0.9592332243919373,0.0,0.6331081986427307,0.5947867035865784,0.004950675647705793,0,000000025424.jpg,3,3
one2one,13,86,0,overlap,13,13,13,86,13,13,0.8123598878200238,0.8498838543891907,0.9506541967391968,0.0,1.248937726020813,1.3357617855072021,0.004807235673069954,0,000000026204.jpg,13,13
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9466444551944733,0.9466444551944733,0.9625068962574005,0.0,0.39770272374153137,0.2774218022823334,0.004695598501712084,0,000000027982.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7954177260398865,0.7954177260398865,0.8846565127372742,0.0,1.421826958656311,0.5949184894561768,0.009080382995307446,0,000000030494.jpg,2,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.96113520860672,0.96113520860672,0.96113520860672,0.0,0.2803041934967041,0.1285843402147293,0.005548868328332901,0,000000030675.jpg,1,1
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8799599170684814,0.8829010725021362,0.9592852592468262,0.0,0.8644557595252991,2.571204900741577,0.007849819026887417,0,000000031735.jpg,5,5
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8677370846271515,0.8677370846271515,0.9364655554294586,0.0,0.9356860518455505,0.5489426851272583,0.004192020278424025,0,000000033005.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9031650722026825,0.9031650722026825,0.9049264371395112,0.0,0.7298940420150757,1.5284044742584229,0.012855559587478638,0,000000034071.jpg,2,2
