assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,17,119,1,overlap,17,17,17,118,17,17,0.8210439611883724,0.866757333278656,0.9739118814468384,0.0,1.1699122190475464,1.0858545303344727,0.008487680926918983,0,17,17,2,0.01376287939329223,285,17,000000001000.jpg,9,9,0.8259345173835755,0.866757333278656,0.9761721849441528,8,6,300,0,0,0.5821642194564144,15
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9371490478515625,0.9371490478515625,0.9605670928955078,0.0,0.46556466817855835,1.30931556224823,0.0030536064878106117,0,2,2,0,0.011286130436928943,40,2,000000002261.jpg,0,0,0.7763722538948059,0.7763722538948059,0.8815756440162659,2,2,42,0,0,0.3355057258158922,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.9097033540407816,0.9369158148765564,0.9658968567848205,0.0,0.6515519618988037,1.5206849575042725,0.01063296664506197,0,9,9,1,0.01782626361864459,256,9,000000002431.jpg,4,4,0.9015065804123878,0.9440968036651611,0.9670584678649903,4,4,264,1,0,0.4633951191790402,8
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6782684723536173,0.7372851073741913,0.8640130758285522,0.0,2.0144877433776855,1.1385339498519897,0.006433621048927307,0,12,12,2,0.019004969401076936,179,12,000000007281.jpg,2,2,0.743434089422226,0.7982164025306702,0.8690127789974212,2,2,189,8,6,0.4355537939816713,10
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9415919780731201,0.9415919780731201,0.9800515651702881,0.0,0.4206843376159668,0.17738185822963715,0.0036628409288823605,0,2,2,0,0.005859165258395175,27,2,000000008532.jpg,1,1,0.9415919780731201,0.9415919780731201,0.9800515651702881,1,1,29,0,0,0.9169043004512787,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8109009265899658,0.846868246793747,0.9457906663417817,0.0,1.3018968105316162,1.1812397241592407,0.0069354199804365635,0,10,10,0,0.018180449349063904,172,10,000000009378.jpg,1,1,0.7294645011425018,0.6689287722110748,0.9457906663417817,5,5,182,4,4,0.4958081009797752,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9476013779640198,0.9476013779640198,0.9476013779640198,0.0,0.3726208508014679,0.29995521903038025,0.00238994974642992,0,1,1,0,0.006131360957743195,46,1,000000011122.jpg,0,0,0.9476008415222168,0.9476008415222168,0.9476008415222168,1,1,47,0,0,0.947566032409668,1
one2one,10,69,1,overlap,10,10,10,68,10,10,0.7794688522815705,0.7518329918384552,0.9197405397891998,0.0,1.5516104698181152,1.3534866571426392,0.011029485613107681,0,10,10,0,0.012447463123705881,203,10,000000011511.jpg,1,1,0.7710553705692291,0.7460677325725555,0.9197405457496644,7,7,213,2,2,0.41630029558436943,10
one2one,28,191,0,overlap,28,28,28,191,28,28,0.772644871047565,0.827419102191925,0.9288218021392822,0.0,1.4228750467300415,2.0321996212005615,0.008812326937913895,0,28,28,8,0.02247139657930737,280,28,000000012670.jpg,7,7,0.7986831784248352,0.831856906414032,0.93072110414505,14,12,300,7,1,0.31965258065611124,20
one2one,19,130,3,overlap,19,19,19,127,19,19,0.8203133564246329,0.8658429384231567,0.9310756802558899,0.0,1.2338833808898926,2.1903905868530273,0.006210977677255869,0,19,19,5,0.018344559110017245,286,19,000000013923.jpg,3,3,0.8132044332368034,0.8605689108371735,0.9371704578399659,11,8,300,5,3,0.43953959667123854,14
