assigner_branch,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2many,0.7946809821143122,0.8417616486549377,0.9719706058502198,0.8982035928143712,1.0657269954681396,0.855372428894043,0.008756767958402634,150,000000001000.jpg,167,17
one2many,0.8759164631366729,0.8994110822677612,0.9641746461391449,0.9,0.6267269253730774,1.2034275531768799,0.004796890076249838,18,000000002261.jpg,20,2
one2many,0.8868119411525273,0.9388077259063721,0.9734204769134521,0.8928571428571429,0.6498870253562927,1.164662480354309,0.01156342402100563,75,000000002431.jpg,84,9
one2many,0.701798708284203,0.7796343564987183,0.8828246474266053,0.8481012658227848,1.576141357421875,1.2538857460021973,0.0074420953169465065,67,000000007281.jpg,79,12
one2many,0.9380842030048371,0.936205118894577,0.9850020289421082,0.9,0.4168192148208618,0.26274994015693665,0.00481888884678483,18,000000008532.jpg,20,2
one2many,0.7585900875926018,0.7459084391593933,0.9485303878784179,0.9,1.3686872720718384,0.8925029039382935,0.008137417957186699,90,000000009378.jpg,100,10
one2many,0.9545565664768219,0.9551497995853424,0.9574737131595612,0.9,0.34067657589912415,0.23943309485912323,0.0021850913763046265,9,000000011122.jpg,10,1
one2many,0.7534949604111413,0.7723461091518402,0.9237098693847656,0.8958333333333334,1.5889151096343994,1.1857290267944336,0.011871840804815292,86,000000011511.jpg,96,10
one2many,0.7165234697850121,0.8015092015266418,0.9331031084060669,0.8951310861423221,1.2523832321166992,1.3982571363449097,0.00953814946115017,239,000000012670.jpg,267,28
one2many,0.7707606765828775,0.8509045243263245,0.9280760765075684,0.898876404494382,1.1195638179779053,2.0226926803588867,0.007452030200511217,160,000000013923.jpg,178,18
one2many,0.911923493941625,0.8980415761470795,0.976661080121994,0.9,0.5689520239830017,1.037307858467102,0.004429291468113661,27,000000015597.jpg,30,3
one2many,0.7979861545562744,0.8330517411231995,0.9182879447937011,0.9,1.1318230628967285,1.9772677421569824,0.003699325956404209,45,000000016010.jpg,50,5
one2many,0.7236267303834196,0.7767944931983948,0.9175256490707397,0.8852459016393442,1.5901460647583008,2.4758505821228027,0.006622228771448135,54,000000017182.jpg,61,7
one2many,0.8616961310307185,0.9360933899879456,0.9552190005779266,0.9,0.7654101848602295,1.727368950843811,0.007362286560237408,27,000000017905.jpg,30,3
one2many,0.870807569367545,0.8732142448425293,0.9474644184112548,0.9,0.9249603152275085,0.952387809753418,0.011017299257218838,63,000000018150.jpg,70,7
one2many,0.7488812366618386,0.7604396939277649,0.9146447539329529,0.8987341772151899,1.6255995035171509,1.0007920265197754,0.014800097793340683,71,000000018837.jpg,79,8
one2many,0.9089745193719864,0.9134133756160736,0.9322744607925415,0.9,0.6815352439880371,0.2378193885087967,0.006612428463995457,18,000000020059.jpg,20,2
one2many,0.8121989101171494,0.7858039140701294,0.9020342946052551,0.9,1.393751859664917,2.404208183288574,0.014593319967389107,18,000000021465.jpg,20,2
one2many,0.8584342968463897,0.8503144383430481,0.9772557854652405,0.9,0.8069234490394592,0.9690001010894775,0.006864210590720177,45,000000022705.jpg,50,5
one2many,0.6792348016585622,0.8034938871860504,0.9146596729755402,0.8571428571428571,1.3018244504928589,1.6183794736862183,0.009159296751022339,24,000000022755.jpg,28,4
one2many,0.9813979903856913,0.9823367893695831,0.9878012597560882,0.9,0.13723084330558777,0.16596904397010803,0.003015887923538685,27,000000022935.jpg,30,3
one2many,0.8997861027717591,0.900513768196106,0.9032475352287292,0.9,0.7533897757530212,0.3496706783771515,0.007262886967509985,9,000000023666.jpg,10,1
one2many,0.7444427327897686,0.850888192653656,0.9662214636802673,0.8365384615384616,0.9718235731124878,0.72315514087677,0.006414155475795269,87,000000024243.jpg,104,17
one2many,0.8019496202468872,0.7849564552307129,0.8892341256141663,0.9,1.5773355960845947,1.4866902828216553,0.05997663736343384,18,000000025139.jpg,20,2
one2many,0.8954451739788055,0.9072074890136719,0.9707258999347687,0.9,0.6771242618560791,0.5218847990036011,0.00575501611456275,27,000000025424.jpg,30,3
