assign_assigner_branch,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2many,0.7933526495973507,0.8389351963996887,0.9700294256210327,0.8982035928143712,1.0478349924087524,0.8361396193504333,0.008800764568150043,150,167,17,1,0.019151355963836516,284,17,000000001000.jpg,9,9,0.8408971577882767,0.856633186340332,0.9738934338092804,8,7,300,0,0,0.5506606563285459,16
one2many,0.8831700265407563,0.9121177494525909,0.9699676632881165,0.9,0.5535164475440979,1.1769942045211792,0.004085359163582325,18,20,2,0,0.015416473385855733,42,2,000000002261.jpg,0,0,0.9191214144229889,0.9191214144229889,0.9501123249530792,2,2,44,0,0,0.29823656380176544,2
one2many,0.8892887667531059,0.9408058524131775,0.9744591236114503,0.8928571428571429,0.6265503764152527,1.163905382156372,0.011233883909881115,75,84,9,0,0.01918523348892575,283,9,000000002431.jpg,4,4,0.872160878446367,0.934413492679596,0.9672539114952088,4,4,292,1,1,0.4538711136879606,9
one2many,0.7013672231873379,0.7711541652679443,0.8831536412239075,0.8481012658227848,1.5960602760314941,1.2167630195617676,0.00778577197343111,67,79,12,3,0.022004641895038708,162,12,000000007281.jpg,2,2,0.7383793724907769,0.7633681297302246,0.8645113587379456,2,2,171,8,5,0.43358352076676154,9
one2many,0.9384021103382111,0.9381532967090607,0.984946209192276,0.9,0.4153427183628082,0.2686089277267456,0.0048242066986858845,18,20,2,0,0.007339234402024886,32,2,000000008532.jpg,1,1,0.9452477395534515,0.9452477395534515,0.9817619025707245,1,1,34,0,0,0.8678922057151794,2
one2many,0.7597074109315872,0.7460093796253204,0.9484687685966492,0.9,1.3463903665542603,0.8884265422821045,0.008034611120820045,90,100,10,0,0.026349460601164592,132,10,000000009378.jpg,1,1,0.7337759137153625,0.7019069194793701,0.9166279077529907,5,5,142,4,4,0.502010964974761,10
one2many,0.9556472301483154,0.9561761319637299,0.9582986414432526,0.9,0.33244019746780396,0.24371983110904694,0.0021304229740053415,9,10,1,0,0.008816080715726404,34,1,000000011122.jpg,0,0,0.9562310576438904,0.9562310576438904,0.9562310576438904,1,1,35,0,0,0.9294776916503906,1
one2many,0.7567850366855661,0.7762970626354218,0.9241883158683777,0.8958333333333334,1.5737359523773193,1.2158935070037842,0.0117169339209795,86,96,10,0,0.013424832701801937,235,10,000000011511.jpg,1,1,0.7590477347373963,0.7416625320911407,0.911584985256195,7,7,245,2,2,0.4103909501573071,10
one2many,0.7146047774165143,0.792687177658081,0.9331031680107117,0.8951310861423221,1.2556401491165161,1.4019931554794312,0.009625168517231941,239,267,28,6,0.030150008131582424,278,28,000000012670.jpg,7,7,0.7791436964815314,0.8240547776222229,0.9355089485645295,14,14,300,7,1,0.30558446408461104,22
one2many,0.7711960491253419,0.8522673547267914,0.925363826751709,0.898876404494382,1.1156343221664429,2.0028395652770996,0.007391924969851971,160,178,18,4,0.022549900115189845,285,19,000000013923.jpg,3,3,0.776874299844106,0.8517546057701111,0.9409616947174072,11,8,300,5,4,0.4544987032500406,15
one2many,0.9166487475236257,0.9003483057022095,0.9763930261135101,0.9,0.5436999201774597,0.9850542545318604,0.004314141348004341,27,30,3,0,0.004877279291019564,93,3,000000015597.jpg,1,1,0.9056353370348612,0.8982555866241455,0.9630413055419922,2,2,96,0,0,0.5662780229467899,3
one2many,0.7979030227661132,0.8402268588542938,0.9177160322666168,0.9,1.1787190437316895,1.9595322608947754,0.003902726573869586,45,50,5,0,0.017417423524972747,295,5,000000016010.jpg,0,0,0.7268023729324341,0.8024492859840393,0.8718973398208618,1,1,300,4,4,0.24123285450041293,5
one2many,0.7266179054486946,0.7804649472236633,0.9202030301094055,0.8852459016393442,1.5725418329238892,2.4908196926116943,0.006525893695652485,54,61,7,2,0.011448152683122636,182,8,000000017182.jpg,0,0,0.7267377972602844,0.7224237620830536,0.8816697597503662,7,5,188,1,1,0.10928435753642891,6
one2many,0.8606325576702754,0.9362033009529114,0.9525053918361663,0.9,0.7541045546531677,1.6488150358200073,0.007225831970572472,27,30,3,0,0.019957566476836237,66,3,000000017905.jpg,1,1,0.8730742534001669,0.9484250545501709,0.9564915180206299,2,2,69,0,0,0.3596428148448467,3
one2many,0.8696848205157689,0.8746937811374664,0.9429349184036255,0.9,0.9344403743743896,0.9443916082382202,0.011080523021519184,63,70,7,0,0.008961307092044407,195,7,000000018150.jpg,3,3,0.8655434761728559,0.8671602606773376,0.9146672010421754,3,3,202,1,1,0.5326987928045648,7
one2many,0.7441764051401163,0.766929566860199,0.9119788646697998,0.8987341772151899,1.6591169834136963,1.0000821352005005,0.015110132284462452,71,79,8,0,0.01066147236628713,292,8,000000018837.jpg,3,3,0.7328201904892921,0.7591440975666046,0.8519714415073395,3,3,300,2,2,0.3850218541920185,8
one2many,0.9096882164478302,0.9140181541442871,0.9326408207416534,0.9,0.6770653128623962,0.22716976702213287,0.006555597297847271,18,20,2,0,0.0019317252445034683,2,2,000000020059.jpg,1,1,0.9103614091873169,0.9103614091873169,0.927762246131897,1,1,4,0,0,0.9297442436218262,2
one2many,0.8099811524152756,0.7848373651504517,0.9012101650238037,0.9,1.4049289226531982,2.444253444671631,0.01464582234621048,18,20,2,0,0.029856563280899102,298,2,000000021465.jpg,0,0,0.7755368649959564,0.7755368649959564,0.7983233630657196,2,2,300,0,0,0.5880490988492966,2
one2many,0.8601076602935791,0.8548069894313812,0.9757898867130279,0.9,0.7865821123123169,0.9507173895835876,0.007118610665202141,45,50,5,0,0.011254603984535382,186,5,000000022705.jpg,2,2,0.8100080013275146,0.8205548524856567,0.9200466513633728,2,2,191,1,1,0.6020915272645653,5
one2many,0.6954569192948165,0.8007229566574097,0.9274737000465394,0.8518518518518519,1.2615100145339966,1.6580296754837036,0.008849008940160275,23,27,4,2,0.013186840240352897,186,4,000000022755.jpg,1,1,0.8187826871871948,0.8187826871871948,0.8332305669784545,1,1,188,2,0,0.40618354082107544,2
one2many,0.9814045846462249,0.9825606644153595,0.9875981092453003,0.9,0.13773387670516968,0.16008873283863068,0.003083419520407915,27,30,3,0,0.014392728509847075,24,3,000000022935.jpg,3,3,0.9800527691841125,0.9811788201332092,0.9836028695106507,0,0,27,0,0,0.8936285972595215,3
one2many,0.899142575263977,0.8994764089584351,0.9026918649673462,0.9,0.7545751929283142,0.36122024059295654,0.007234330289065838,9,10,1,0,0.005157854211574886,16,1,000000023666.jpg,1,1,0.9026275873184204,0.9026275873184204,0.9026275873184204,0,0,17,0,0,0.856043815612793,1
one2many,0.7441640259841313,0.847326934337616,0.9655446469783783,0.8365384615384616,0.978035569190979,0.7235744595527649,0.006514174863696098,87,104,17,4,0.01801493572082592,286,18,000000024243.jpg,3,3,0.7745468744209835,0.7704128623008728,0.9567142009735108,2,2,300,13,9,0.41905383033944027,14
