assign_assigner_branch,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2many,0.7911335649247655,0.8434863090515137,0.9701528906822204,0.8982035928143712,1.0454248189926147,0.8297504186630249,0.00868344958871603,150,167,17,1,0.01876277707371218,284,17,000000001000.jpg,9,9,0.8400918282568455,0.8458382785320282,0.9715393483638763,8,7,300,0,0,0.5524017563584493,16
one2many,0.8915574789047241,0.917565643787384,0.964504724740982,0.9,0.5463933348655701,1.2329398393630981,0.003996949177235365,18,20,2,0,0.015149959732535417,46,2,000000002261.jpg,0,0,0.9304922819137573,0.9304922819137573,0.953059458732605,2,2,48,0,0,0.29095956310629845,2
one2many,0.8902747074053401,0.9402649402618408,0.9746949791908264,0.8928571428571429,0.6127662658691406,1.1673582792282104,0.011046265251934528,75,84,9,0,0.019752935993267523,291,9,000000002431.jpg,4,4,0.8729360169834561,0.9388002157211304,0.9656536221504212,4,4,300,1,1,0.4729944534677391,9
one2many,0.7008912081394014,0.7721650004386902,0.8792665123939515,0.8481012658227848,1.6290401220321655,1.2056910991668701,0.007926898077130318,67,79,12,4,0.018730764437825998,153,12,000000007281.jpg,2,2,0.7275522872805595,0.7336124181747437,0.8710881471633911,2,2,161,8,4,0.5647329743951559,8
one2many,0.9363425225019455,0.9364063143730164,0.982811552286148,0.9,0.42463889718055725,0.24697011709213257,0.00506154540926218,18,20,2,0,0.005624354900127011,35,2,000000008532.jpg,1,1,0.9419439733028412,0.9419439733028412,0.9779773890972138,1,1,37,0,0,0.8696392476558685,2
one2many,0.7582129600644112,0.7331281006336212,0.9487945735454559,0.9,1.3876067399978638,0.8802278637886047,0.008183860220015049,90,100,10,0,0.026142377161886544,130,10,000000009378.jpg,1,1,0.7311998724937439,0.7008135914802551,0.9172546684741973,5,5,140,4,4,0.49811095353215934,10
one2many,0.9542418599128724,0.9534130394458771,0.9582148194313049,0.9,0.3430193066596985,0.21793055534362793,0.0021983745973557234,9,10,1,0,0.007821498167080184,33,1,000000011122.jpg,0,0,0.952208399772644,0.952208399772644,0.952208399772644,1,1,34,0,0,0.9333041906356812,1
one2many,0.7546143077003459,0.769185483455658,0.9233363270759583,0.8958333333333334,1.5703694820404053,1.184776782989502,0.011791631579399109,86,96,10,0,0.013194439260082113,234,10,000000011511.jpg,1,1,0.7594526410102844,0.7416671216487885,0.9109355330467224,7,7,244,2,2,0.4059878021711484,10
one2many,0.7168711976737677,0.7954508066177368,0.9297431111335754,0.8951310861423221,1.2626564502716064,1.405429720878601,0.00959413405507803,239,267,28,7,0.030262643140890905,279,28,000000012670.jpg,7,7,0.8088407942226955,0.8356808423995972,0.9366192817687988,14,13,300,7,1,0.32414702512323856,21
one2many,0.7684390021257856,0.8514929115772247,0.9277752578258515,0.898876404494382,1.1099934577941895,2.0067574977874756,0.0073532103560864925,160,178,18,5,0.022423702780600196,286,19,000000013923.jpg,3,3,0.7965288886002132,0.8531893193721771,0.9363078832626343,11,8,300,5,3,0.48059979400464464,14
one2many,0.9156171600023906,0.8992465734481812,0.9765926599502563,0.9,0.5542015433311462,0.9703478217124939,0.0043774875812232494,27,30,3,0,0.005071803085045533,89,3,000000015597.jpg,1,1,0.9018999338150024,0.897229015827179,0.9614730954170227,2,2,92,0,0,0.5683869716400901,3
one2many,0.7984241414070129,0.8374091386795044,0.9167742908000946,0.9,1.1272059679031372,2.0025975704193115,0.0037063839845359325,45,50,5,0,0.017553576792716602,295,5,000000016010.jpg,0,0,0.7273070931434631,0.7942901849746704,0.871569550037384,1,1,300,4,4,0.23701153732836247,5
one2many,0.7216878816729686,0.7790465354919434,0.9133488535881042,0.8852459016393442,1.553635835647583,2.3175487518310547,0.006473883055150509,54,61,7,2,0.011501811339670943,185,8,000000017182.jpg,0,0,0.7281650404135386,0.7272679805755615,0.8819660246372223,7,5,191,1,1,0.12117567150077473,6
one2many,0.8611371487379074,0.9361411333084106,0.9535376250743866,0.9,0.7489457726478577,1.603995442390442,0.007102432660758495,27,30,3,0,0.019218795507737068,66,3,000000017905.jpg,1,1,0.8731421232223511,0.947689950466156,0.9531384348869324,2,2,69,0,0,0.3537056352943182,3
one2many,0.867318138054439,0.8727781474590302,0.926968377828598,0.9,0.9608113169670105,1.0022410154342651,0.011621549725532532,63,70,7,0,0.009221929600339775,190,7,000000018150.jpg,3,3,0.863147897379739,0.8650695085525513,0.9119058966636657,3,3,197,1,1,0.527985758680318,7
one2many,0.7561082206194913,0.7595232129096985,0.9156733393669129,0.8987341772151899,1.5675690174102783,1.017208218574524,0.014291675761342049,71,79,8,0,0.010433568617596915,292,8,000000018837.jpg,3,3,0.7406686842441559,0.7835593223571777,0.854265958070755,3,3,300,2,2,0.3724072980694473,8
one2many,0.9100707113742829,0.9146708846092224,0.9336049020290375,0.9,0.6734074950218201,0.24079662561416626,0.006524639669805765,18,20,2,0,0.0017014198238030076,2,2,000000020059.jpg,1,1,0.9107385873794556,0.9107385873794556,0.928708529472351,1,1,4,0,0,0.9299324750900269,2
one2many,0.8164700120687485,0.7756187915802002,0.902407431602478,0.9,1.3594332933425903,2.4560277462005615,0.01401598658412695,18,20,2,0,0.028401996860680664,298,2,000000021465.jpg,0,0,0.7915890216827393,0.7915890216827393,0.8029376029968261,2,2,300,0,0,0.596685990691185,2
one2many,0.8597586965560913,0.8602479696273804,0.9757039725780488,0.9,0.7840754389762878,0.9769790768623352,0.00702920276671648,45,50,5,0,0.010674382932368314,201,5,000000022705.jpg,2,2,0.8073231339454651,0.8189610242843628,0.9193049907684326,2,2,206,1,1,0.5981887399684638,5
one2many,0.6913575916378586,0.8047300577163696,0.9259662270545961,0.8518518518518519,1.258159875869751,1.5659900903701782,0.00886871200054884,23,27,4,2,0.012721418251564342,189,4,000000022755.jpg,1,1,0.8198527097702026,0.8198527097702026,0.8319510698318482,1,1,191,2,0,0.44590163230895996,2
one2many,0.9821390688419342,0.9838548004627228,0.9879392266273499,0.9,0.13178184628486633,0.1559545397758484,0.0029917052015662193,27,30,3,0,0.011262562344199978,24,3,000000022935.jpg,3,3,0.986335277557373,0.9859642386436462,0.9874866366386413,0,0,27,0,0,0.9006778796513876,3
one2many,0.8997372448444366,0.9001879394054413,0.9039299964904786,0.9,0.7502028942108154,0.3594142496585846,0.007213397417217493,9,10,1,0,0.005897848471067846,15,1,000000023666.jpg,1,1,0.9027358889579773,0.9027358889579773,0.9027358889579773,0,0,16,0,0,0.8538967967033386,1
one2many,0.7430093428120017,0.8473019301891327,0.9684642970561981,0.8365384615384616,0.9901405572891235,0.7194012403488159,0.0066267745569348335,87,104,17,4,0.017886584454502624,286,18,000000024243.jpg,3,3,0.767084675175803,0.7316969037055969,0.9564843595027924,2,2,300,13,9,0.4201786725648812,14
one2many,0.8008119463920593,0.7888626754283905,0.8790868163108826,0.9,1.5534907579421997,1.5845649242401123,0.0573132298886776,18,20,2,0,0.005241294901093675,45,2,000000025139.jpg,2,2,0.7871671319007874,0.7871671319007874,0.8289946675300598,0,0,47,0,0,0.4617450418882072,2
one2many,0.894260291258494,0.9044848084449768,0.9714681327342987,0.9,0.6863950490951538,0.5190824866294861,0.005989189259707928,27,30,3,0,0.04568890812030683,6,3,000000025424.jpg,2,2,0.8650575677553812,0.8884897232055664,0.9577126502990723,0,0,9,1,1,0.7732788324356079,3
one2many,0.7759577307142009,0.8302532434463501,0.9514274597167969,0.8925619834710744,1.0649715662002563,0.8493110537528992,0.0048779454082250595,108,121,13,1,0.029349862725616224,288,13,000000026204.jpg,1,1,0.7968660841385523,0.8362460136413574,0.9528837502002716,6,6,300,6,5,0.5711818782923123,12
one2many,0.9413308948278427,0.942947119474411,0.952150696516037,0.9,0.43904727697372437,0.26053786277770996,0.00485545489937067,18,20,2,0,0.007868292867461194,73,2,000000027982.jpg,1,1,0.939227819442749,0.939227819442749,0.948254919052124,1,1,75,0,0,0.8970628678798676,2
one2many,0.8374895602464676,0.8607977330684662,0.9136072039604187,0.9,1.075975775718689,0.4804553687572479,0.008359511382877827,18,20,2,0,0.005493702134117484,16,2,000000030494.jpg,1,1,0.8312354385852814,0.8312354385852814,0.8970591604709626,0,0,18,1,1,0.6806052476167679,2
one2many,0.9582755148410798,0.958929181098938,0.9619749128818512,0.9,0.3122372329235077,0.14725267887115479,0.006048780865967274,9,10,1,0,0.002118608434102498,24,1,000000030675.jpg,1,1,0.9618642330169678,0.9618642330169678,0.9618642330169678,0,0,25,0,0,0.9164265990257263,1
