assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,17,119,1,overlap,17,17,17,118,17,17,0.825342876069686,0.8724753856658936,0.9752479434013367,0.0,1.1411546468734741,1.100122094154358,0.008398386649787426,0,000000001000.jpg,17,17
one2one,2,14,0,overlap,2,2,2,14,2,2,0.93526890873909,0.93526890873909,0.9619896471500397,0.0,0.4775356948375702,1.4347927570343018,0.0030978010036051273,0,000000002261.jpg,2,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.8975480861134,0.9379205703735352,0.9646795749664306,0.0,0.7189406752586365,1.4112536907196045,0.011402497068047523,0,000000002431.jpg,9,9
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6786111121376356,0.732988566160202,0.8554632425308227,0.0,2.0113024711608887,1.1171430349349976,0.006448615342378616,0,000000007281.jpg,12,12
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9425913691520691,0.9425913691520691,0.980996310710907,0.0,0.41319167613983154,0.17211222648620605,0.003518747165799141,0,000000008532.jpg,2,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8181809723377228,0.8632253408432007,0.9433251142501831,0.0,1.2419679164886475,1.254292607307434,0.006375130265951157,0,000000009378.jpg,10,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9516592621803284,0.9516592621803284,0.9516592621803284,0.0,0.3453265428543091,0.3138907253742218,0.002213067142292857,0,000000011122.jpg,1,1
one2one,10,69,1,overlap,10,10,10,68,10,10,0.7766165375709534,0.7453851103782654,0.9158959925174713,0.0,1.5673619508743286,1.3128657341003418,0.010991469956934452,0,000000011511.jpg,10,10
one2one,28,191,1,overlap,28,28,28,190,28,28,0.7660000164593969,0.8298089802265167,0.9226860523223877,0.0,1.449889898300171,1.979770541191101,0.0088209742680192,0,000000012670.jpg,28,28
one2one,19,130,3,overlap,19,19,19,127,19,19,0.8167573903736315,0.8625084757804871,0.9121451616287232,0.0,1.2699106931686401,2.1825640201568604,0.006406150758266449,0,000000013923.jpg,19,19
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9205004374186198,0.907131016254425,0.9639460682868958,0.0,0.5822829604148865,1.4364330768585205,0.004216068424284458,0,000000015597.jpg,3,3
one2one,5,35,0,overlap,5,5,5,35,5,5,0.794877153635025,0.8837605714797974,0.916608726978302,0.0,1.311118721961975,2.142007827758789,0.004440745804458857,0,000000016010.jpg,5,5
one2one,8,56,12,overlap,8,8,8,43,8,8,0.7541107758879662,0.738667219877243,0.8866381883621216,0.0,1.7220700979232788,2.3647899627685547,0.006378896534442902,0,000000017182.jpg,8,8
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9161635041236877,0.9450690746307373,0.9551674365997315,0.0,0.6104294061660767,1.9320424795150757,0.004341447725892067,0,000000017905.jpg,3,3
one2one,7,49,0,overlap,7,7,7,49,7,7,0.8667726687022618,0.8733728528022766,0.9478203892707825,0.0,0.9692145586013794,1.0902276039123535,0.01092576701194048,0,000000018150.jpg,7,7
one2one,8,56,0,overlap,8,8,8,56,8,8,0.7717499136924744,0.8155660927295685,0.9170498728752137,0.0,1.5588023662567139,1.055428385734558,0.012497805058956146,0,000000018837.jpg,8,8
one2one,2,14,0,overlap,2,2,2,14,2,2,0.912580132484436,0.912580132484436,0.9331423997879028,0.0,0.654110848903656,0.2736106216907501,0.006295284256339073,0,000000020059.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.824323982000351,0.824323982000351,0.8858338534832001,0.0,1.2734102010726929,2.8926382064819336,0.013944930396974087,0,000000021465.jpg,2,2
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8947479963302613,0.8602604866027832,0.9649242162704468,0.0,0.765709400177002,1.4272993803024292,0.005502583924680948,0,000000022705.jpg,5,5
one2one,4,22,1,overlap,4,4,4,21,4,4,0.5737087354063988,0.5661177188158035,0.844992583990097,0.0,2.308074951171875,2.132028341293335,0.011114442721009254,0,000000022755.jpg,4,4
one2one,3,21,0,overlap,3,3,3,21,3,3,0.981215238571167,0.9815850853919983,0.9829535126686096,0.0,0.14096689224243164,0.1136612743139267,0.003232788760215044,0,000000022935.jpg,3,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.8929136395454407,0.8929136395454407,0.8929136395454407,0.0,0.7173280715942383,0.2218283712863922,0.006999568082392216,0,000000023666.jpg,1,1
one2one,18,99,11,overlap,18,18,18,88,18,18,0.6899691849119134,0.7856997847557068,0.948670756816864,0.0,1.6270959377288818,1.2181819677352905,0.006089292466640472,0,000000024243.jpg,18,18
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8045118153095245,0.8045118153095245,0.8578608572483063,0.0,1.460724949836731,1.313924789428711,0.051047928631305695,0,000000025139.jpg,2,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9205641945203146,0.8936499357223511,0.9586130380630493,0.0,0.587073028087616,0.4952727258205414,0.004464682657271624,0,000000025424.jpg,3,3
one2one,13,86,0,overlap,13,13,13,86,13,13,0.8106448375261747,0.8443699479103088,0.9517926573753357,0.0,1.2588636875152588,1.3141686916351318,0.004852890968322754,0,000000026204.jpg,13,13
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9484432339668274,0.9484432339668274,0.9643602013587952,0.0,0.3841809928417206,0.27875348925590515,0.004544545896351337,0,000000027982.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.790991485118866,0.790991485118866,0.8886250376701355,0.0,1.4311946630477905,0.5916936993598938,0.008754546754062176,0,000000030494.jpg,2,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.959770143032074,0.959770143032074,0.959770143032074,0.0,0.2897323668003082,0.13010269403457642,0.005878126714378595,0,000000030675.jpg,1,1
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8599324822425842,0.8807476162910461,0.9646143913269043,0.0,0.9756695032119751,2.380439519882202,0.009672669693827629,0,000000031735.jpg,5,5
