assign_assigner_branch,assign_assigner_candidate_gt_count,assign_assigner_candidate_positive_count,assign_assigner_conflict_anchor_count,assign_assigner_conflict_metric,assign_assigner_final_gt_count,assign_assigner_final_positive_count,assign_assigner_post_conflict_gt_count,assign_assigner_post_conflict_positive_count,assign_assigner_post_secondary_topk_gt_count,assign_assigner_post_secondary_topk_positive_count,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,17,119,1,overlap,17,17,17,118,17,17,0.825342876069686,0.8724753856658936,0.9752479434013367,0.0,1.1411546468734741,1.100122094154358,0.008398386649787426,0,17,17,2,0.014759432320205266,285,17,000000001000.jpg,9,9,0.8321973323822022,0.872475266456604,0.9770273685455322,8,6,300,0,0,0.5935885327557723,15
one2one,2,14,0,overlap,2,2,2,14,2,2,0.93526890873909,0.93526890873909,0.9619896471500397,0.0,0.4775356948375702,1.4347927570343018,0.0030978010036051273,0,2,2,0,0.010354872682671013,38,2,000000002261.jpg,0,0,0.7749634683132172,0.7749634683132172,0.8764870822429657,2,2,40,0,0,0.3497671764343977,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.8975480861134,0.9379205703735352,0.9646795749664306,0.0,0.7189406752586365,1.4112536907196045,0.011402497068047523,0,9,9,1,0.017223638285180806,268,9,000000002431.jpg,4,4,0.9038065522909164,0.9448961019515991,0.9660153925418854,4,4,276,1,0,0.4730949311051518,8
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6786111121376356,0.732988566160202,0.8554632425308227,0.0,2.0113024711608887,1.1171430349349976,0.006448615342378616,0,12,12,2,0.014719205643050372,175,12,000000007281.jpg,2,2,0.712253737449646,0.7329895496368408,0.8611270070075988,2,2,185,8,6,0.5222744219005108,10
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9425913691520691,0.9425913691520691,0.980996310710907,0.0,0.41319167613983154,0.17211222648620605,0.003518747165799141,0,2,2,0,0.0063378754566656426,24,2,000000008532.jpg,1,1,0.9425913691520691,0.9425913691520691,0.980996310710907,1,1,26,0,0,0.9177980720996857,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8181809723377228,0.8632253408432007,0.9433251142501831,0.0,1.2419679164886475,1.254292607307434,0.006375130265951157,0,10,10,0,0.016718621124197655,174,10,000000009378.jpg,1,1,0.7594401061534881,0.7333901226520538,0.9433251142501831,5,5,184,4,4,0.47925466946326195,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9516592621803284,0.9516592621803284,0.9516592621803284,0.0,0.3453265428543091,0.3138907253742218,0.002213067142292857,0,1,1,0,0.007056205065196587,45,1,000000011122.jpg,0,0,0.9516588449478149,0.9516588449478149,0.9516588449478149,1,1,46,0,0,0.9527658820152283,1
one2one,10,69,1,overlap,10,10,10,68,10,10,0.7766165375709534,0.7453851103782654,0.9158959925174713,0.0,1.5673619508743286,1.3128657341003418,0.010991469956934452,0,10,10,0,0.012220489764145914,201,10,000000011511.jpg,1,1,0.770404052734375,0.7453851401805878,0.9158959925174713,7,7,211,2,2,0.42446663037408144,10
one2one,28,191,1,overlap,28,28,28,190,28,28,0.7660000164593969,0.8298089802265167,0.9226860523223877,0.0,1.449889898300171,1.979770541191101,0.0088209742680192,0,28,28,8,0.024498579933840248,280,28,000000012670.jpg,7,7,0.8105490803718567,0.8298089802265167,0.9297686755657196,14,12,300,7,1,0.33028966970741747,20
one2one,19,130,3,overlap,19,19,19,127,19,19,0.8167573903736315,0.8625084757804871,0.9121451616287232,0.0,1.2699106931686401,2.1825640201568604,0.006406150758266449,0,19,19,5,0.017781986333950832,286,19,000000013923.jpg,3,3,0.791821322270802,0.8543254137039185,0.9172832906246186,11,8,300,5,3,0.4511067808073546,14
